Time,05GEX01,05GEX02,05GEX03,05GEX04,05GEX05,05GEX06,05GEX07,05GEX08,05GEX09
6/29/2017 12:25,436.741,436.005,434.928,434.607,433.76,432.793,432.097,431.169,430.244
6/29/2017 12:30,436.742,436.008,434.922,434.6,433.762,432.783,432.095,431.17,430.24
6/29/2017 12:35,436.736,436.006,434.92,434.603,433.763,432.784,432.094,431.167,430.239
6/29/2017 12:40,436.74,436.007,434.927,434.6,433.759,432.783,432.093,431.163,430.242
6/29/2017 12:45,436.738,436.003,434.926,434.606,433.76,432.786,432.091,431.162,430.234
6/29/2017 12:50,436.739,436.003,434.921,434.605,433.76,432.783,432.091,431.162,430.239
6/29/2017 12:55,436.74,436.001,434.922,434.607,433.756,432.785,432.095,431.168,430.233
6/29/2017 13:00,436.734,436.001,434.925,434.608,433.757,432.782,432.09,431.162,430.237
6/29/2017 13:05,436.736,436.003,434.92,434.607,433.758,432.781,432.094,431.164,430.239
6/29/2017 13:10,436.735,436,434.919,434.603,433.758,432.786,432.093,431.159,430.242
6/29/2017 13:15,436.738,435.999,434.919,434.602,433.757,432.783,432.094,431.162,430.241
6/29/2017 13:20,436.738,436.002,434.919,434.604,433.756,432.782,432.091,431.164,430.237
6/29/2017 13:25,436.732,435.998,434.916,434.601,433.757,432.778,432.09,431.163,430.241
6/29/2017 13:30,436.737,435.998,434.919,434.602,433.756,432.779,432.092,431.159,430.232
6/29/2017 13:35,436.733,435.996,434.915,434.599,433.754,432.785,432.09,431.158,430.242
6/29/2017 13:40,436.732,435.999,434.915,434.597,433.752,432.78,432.091,431.16,430.244
6/29/2017 13:45,436.737,436.001,434.916,434.599,433.75,432.782,432.088,431.16,430.238
6/29/2017 13:50,436.729,435.997,434.915,434.597,433.752,432.782,432.086,431.157,430.237
6/29/2017 13:55,436.732,435.998,434.913,434.596,433.75,432.776,432.087,431.153,430.23
6/29/2017 14:00,436.734,436,434.913,434.598,433.749,432.777,432.083,431.157,430.234
6/29/2017 14:05,436.73,435.998,434.914,434.595,433.748,432.782,432.084,431.159,430.236
6/29/2017 14:10,436.731,435.997,434.914,434.596,433.752,432.781,432.087,431.16,430.241
6/29/2017 14:15,436.733,435.998,434.916,434.599,433.752,432.777,432.083,431.154,430.24
6/29/2017 14:20,436.73,435.994,434.913,434.597,433.751,432.775,432.085,431.157,430.231
6/29/2017 14:25,436.727,435.997,434.914,434.597,433.751,432.774,432.082,431.154,430.236
6/29/2017 14:30,436.728,435.993,434.913,434.6,433.75,432.775,432.083,431.157,430.241
6/29/2017 14:35,436.733,435.997,434.915,434.598,433.75,432.777,432.083,431.153,430.23
6/29/2017 14:40,436.728,435.995,434.913,434.595,433.748,432.774,432.081,431.156,430.23
6/29/2017 14:45,436.727,435.996,434.912,434.592,433.747,432.772,432.08,431.153,430.229
6/29/2017 14:50,436.724,435.994,434.911,434.594,433.749,432.774,432.081,431.152,430.235
6/29/2017 14:55,436.725,435.99,434.91,434.592,433.749,432.768,432.078,431.15,430.231
6/29/2017 15:00,436.728,435.989,434.91,434.591,433.747,432.768,432.081,431.148,430.227
6/29/2017 15:05,436.724,435.993,434.909,434.593,433.748,432.772,432.079,431.147,430.229
6/29/2017 15:10,436.725,435.991,434.907,434.593,433.746,432.767,432.077,431.149,430.226
6/29/2017 15:15,436.725,435.991,434.906,434.592,433.743,432.768,432.077,431.152,430.229
6/29/2017 15:20,436.725,435.991,434.905,434.591,433.745,432.772,432.078,431.148,430.217
6/29/2017 15:25,436.726,435.991,434.909,434.591,433.74,432.771,432.076,431.15,430.223
6/29/2017 15:30,436.721,435.988,434.905,434.592,433.742,432.771,432.078,431.147,430.242
6/29/2017 15:35,436.722,435.987,434.907,434.596,433.741,432.772,432.074,431.148,430.218
6/29/2017 15:40,436.716,435.987,434.905,434.593,433.744,432.77,432.078,431.148,430.225
6/29/2017 15:45,436.722,435.986,434.906,434.587,433.745,432.773,432.08,431.152,430.225
6/29/2017 15:50,436.722,435.987,434.906,434.585,433.743,432.775,432.077,431.151,430.224
6/29/2017 15:55,436.718,435.985,434.904,434.59,433.744,432.769,432.074,431.148,430.222
6/29/2017 16:00,436.717,435.983,434.899,434.588,433.745,432.772,432.076,431.145,430.224
6/29/2017 16:05,436.715,435.982,434.903,434.591,433.74,432.77,432.075,431.151,430.227
6/29/2017 16:10,436.715,435.982,434.901,434.588,433.737,432.769,432.073,431.145,430.223
6/29/2017 16:15,436.715,435.982,434.907,434.589,433.741,432.767,432.074,431.143,430.228
6/29/2017 16:20,436.713,435.98,434.906,434.588,433.741,432.771,432.073,431.145,430.222
6/29/2017 16:25,436.712,435.981,434.902,434.589,433.738,432.767,432.072,431.141,430.219
6/29/2017 16:30,436.711,435.977,434.902,434.587,433.739,432.767,432.074,431.145,430.226
6/29/2017 16:35,436.716,435.981,434.906,434.589,433.738,432.763,432.073,431.145,430.222
